id,source,category,age_range,difficulty,language_style,title,india_concept,bible_reference,memory_verse,kid_friendly_explanation,activity_idea,kid_prompt,answer_key,safety_tag
12,Hinglish,Nature,8–10,2,English,Show Respect when you rainy season: Library book care.,Library book care,Psalm 24:1,"The earth is the Lord’s, and everything in it.","During rainy season, practice respect. Library book care is a simple way to show care for others.",Create a recycling checklist for your class.,What is one way to show respect during rainy season?,"By practicing library book care and remembering Psalm 24:1 — The earth is the Lord’s, and everything in it.",non_sensitive
13,Hinglish,Civics,6–8,2,Hinglish,Show Peacemaking when you family meals: Traffic safety and helmets.,Traffic safety and helmets,Colossians 3:23,"Whatever you do, work at it with all your heart, as working for the Lord.",Traffic safety and helmets ke dauran family meals mein peacemaking dikhana seekhein. Sach bolna zaroori hai.,Start a 7‑day kindness chart at home.,What is one way to show peacemaking during family meals?,"By practicing traffic safety and helmets and remembering Colossians 3:23 — Whatever you do, work at it with all your heart, as working for the Lord.",non_sensitive
14,Hinglish,Honesty,8–10,3,Hinglish,"In playground games, choose Courage: Respect for teachers (Guru).",Respect for teachers (Guru),Ephesians 4:32,"Be kind and compassionate to one another, forgiving each other.",Respect for teachers (Guru) ke dauran playground games mein courage dikhana seekhein. Sach bolna zaroori hai.,Act out a short skit with friends.,What is one way to show courage during playground games?,"By practicing respect for teachers (guru) and remembering Ephesians 4:32 — Be kind and compassionate to one another, forgiving each other.",non_sensitive
15,Hinglish,Honesty,6–8,1,Hinglish,Be Kindness in park clean-ups: Using inside voices in public places.,Using inside voices in public places,Proverbs 3:5,Trust in the Lord with all your heart.,"Using inside voices in public places ke dauran park clean-ups mein kindness dikhana seekhein. Helmet peheno, safety first!",Create a recycling checklist for your class.,What is one way to show kindness during park clean-ups?,By practicing using inside voices in public places and remembering Proverbs 3:5 — Trust in the Lord with all your heart.,non_sensitive
16,Hinglish,Work,10–12,2,Hinglish,God cares about festival time; practice Gratitude: Respect for diverse languages.,Respect for diverse languages,Proverbs 3:5,Trust in the Lord with all your heart.,Respect for diverse languages ke dauran festival time mein gratitude dikhana seekhein. Elders ko respect dikhana chahiye.,Act out a short skit with friends.,What is one way to show gratitude during festival time?,By practicing respect for diverse languages and remembering Proverbs 3:5 — Trust in the Lord with all your heart.,non_sensitive
17,Hinglish,Travel,6–8,1,Hinglish,God cares about rainy season; practice Gratitude: Monsoon safety and helping.,Monsoon safety and helping,Proverbs 12:22,"The Lord detests lying lips, but he delights in people who are trustworthy.",Monsoon safety and helping ke dauran rainy season mein gratitude dikhana seekhein. Sab ke saath share karna accha hota hai.,Make a thank-you card for a helper.,What is one way to show gratitude during rainy season?,"By practicing monsoon safety and helping and remembering Proverbs 12:22 — The Lord detests lying lips, but he delights in people who are trustworthy.",non_sensitive
18,Hinglish,Honesty,10–12,3,Hinglish,Show Hard work when you market visits: Recycling and saving water.,Recycling and saving water,Proverbs 3:5,Trust in the Lord with all your heart.,Recycling and saving water ke dauran market visits mein hard work dikhana seekhein. Sach bolna zaroori hai.,Draw a comic showing the lesson.,What is one way to show hard work during market visits?,By practicing recycling and saving water and remembering Proverbs 3:5 — Trust in the Lord with all your heart.,non_sensitive
19,Hinglish,Sports,8–10,1,English,God cares about rainy season; practice Hard work: Keeping temples and parks clean.,Keeping temples and parks clean,Micah 6:8,"Act justly, love mercy, and walk humbly with your God.","During rainy season, practice hard work. Keeping temples and parks clean is a simple way to show care for others.",Start a 7‑day kindness chart at home.,What is one way to show hard work during rainy season?,"By practicing keeping temples and parks clean and remembering Micah 6:8 — Act justly, love mercy, and walk humbly with your God.",non_sensitive
20,Hinglish,Family,8–10,2,Hinglish,God cares about market visits; practice Hard work: Cricket fair play.,Cricket fair play,Matthew 7:12,Do to others what you would have them do to you.,"Cricket fair play ke dauran market visits mein hard work dikhana seekhein. Helmet peheno, safety first!",Make a thank-you card for a helper.,What is one way to show hard work during market visits?,By practicing cricket fair play and remembering Matthew 7:12 — Do to others what you would have them do to you.,non_sensitive
21,Hinglish,Travel,6–8,2,Hinglish,God cares about bus rides; practice Hard work: Queueing at shops and buses.,Queueing at shops and buses,Proverbs 22:1,A good name is more desirable than great riches.,Queueing at shops and buses ke dauran bus rides mein hard work dikhana seekhein. Elders ko respect dikhana chahiye.,Design a poster about the verse.,What is one way to show hard work during bus rides?,By practicing queueing at shops and buses and remembering Proverbs 22:1 — A good name is more desirable than great riches.,non_sensitive
22,Hinglish,Honesty,10–12,1,Hinglish,Show Stewardship when you playground games: Helping neighbors during festivals.,Helping neighbors during festivals,Micah 6:8,"Act justly, love mercy, and walk humbly with your God.",Helping neighbors during festivals ke dauran playground games mein stewardship dikhana seekhein. Please aur thank you bolna chahiye.,Plant a seed and write a care plan.,What is one way to show stewardship during playground games?,"By practicing helping neighbors during festivals and remembering Micah 6:8 — Act justly, love mercy, and walk humbly with your God.",non_sensitive
23,Hinglish,Work,10–12,2,Hinglish,Be Gratitude in temple/church visits: Respect for diverse languages.,Respect for diverse languages,Proverbs 12:22,"The Lord detests lying lips, but he delights in people who are trustworthy.",Respect for diverse languages ke dauran temple/church visits mein gratitude dikhana seekhein. Sach bolna zaroori hai.,Draw a comic showing the lesson.,What is one way to show gratitude during temple/church visits?,"By practicing respect for diverse languages and remembering Proverbs 12:22 — The Lord detests lying lips, but he delights in people who are trustworthy.",non_sensitive
24,Hinglish,Nature,8–10,1,Hinglish,Show Hard work when you school line: Using inside voices in public places.,Using inside voices in public places,Proverbs 15:1,A gentle answer turns away wrath.,Using inside voices in public places ke dauran school line mein hard work dikhana seekhein. Sab ke saath share karna accha hota hai.,Make a thank-you card for a helper.,What is one way to show hard work during school line?,By practicing using inside voices in public places and remembering Proverbs 15:1 — A gentle answer turns away wrath.,non_sensitive
25,Hinglish,Health,8–10,3,Hinglish,Show Kindness when you rainy season: Respect for teachers (Guru).,Respect for teachers (Guru),Proverbs 22:1,A good name is more desirable than great riches.,Respect for teachers (Guru) ke dauran rainy season mein kindness dikhana seekhein. Elders ko respect dikhana chahiye.,Start a 7‑day kindness chart at home.,What is one way to show kindness during rainy season?,By practicing respect for teachers (guru) and remembering Proverbs 22:1 — A good name is more desirable than great riches.,non_sensitive
26,Hinglish,Helping,10–12,1,Hinglish,God cares about festival time; practice Humility: Helping neighbors during festivals.,Helping neighbors during festivals,Philippians 2:4,"Look not only to your own interests, but also to the interests of others.","Helping neighbors during festivals ke dauran festival time mein humility dikhana seekhein. Paani bachao, future bachao.",Make a thank-you card for a helper.,What is one way to show humility during festival time?,"By practicing helping neighbors during festivals and remembering Philippians 2:4 — Look not only to your own interests, but also to the interests of others.",non_sensitive
27,Hinglish,Work,6–8,1,Hinglish,Show Humility when you temple/church visits: Helping neighbors during festivals.,Helping neighbors during festivals,Psalm 24:1,"The earth is the Lord’s, and everything in it.",Helping neighbors during festivals ke dauran temple/church visits mein humility dikhana seekhein. Elders ko respect dikhana chahiye.,Make a thank-you card for a helper.,What is one way to show humility during temple/church visits?,"By practicing helping neighbors during festivals and remembering Psalm 24:1 — The earth is the Lord’s, and everything in it.",non_sensitive
28,Hinglish,Creativity,10–12,3,English,"In music practice, choose Honesty: Namaste greeting.",Namaste greeting,Matthew 7:12,Do to others what you would have them do to you.,"During music practice, practice honesty. Namaste greeting is a simple way to show care for others.",Make a thank-you card for a helper.,What is one way to show honesty during music practice?,By practicing namaste greeting and remembering Matthew 7:12 — Do to others what you would have them do to you.,non_sensitive
29,Hinglish,School,6–8,1,Hinglish,Be Respect in school line: Tiffin sharing kindly.,Tiffin sharing kindly,Colossians 3:23,"Whatever you do, work at it with all your heart, as working for the Lord.",Tiffin sharing kindly ke dauran school line mein respect dikhana seekhein. Sach bolna zaroori hai.,Make a thank-you card for a helper.,What is one way to show respect during school line?,"By practicing tiffin sharing kindly and remembering Colossians 3:23 — Whatever you do, work at it with all your heart, as working for the Lord.",non_sensitive
30,Hinglish,Work,8–10,2,Hinglish,God cares about school line; practice Stewardship: Helping neighbors during festivals.,Helping neighbors during festivals,Proverbs 22:1,A good name is more desirable than great riches.,Helping neighbors during festivals ke dauran school line mein stewardship dikhana seekhein. Please aur thank you bolna chahiye.,Design a poster about the verse.,What is one way to show stewardship during school line?,By practicing helping neighbors during festivals and remembering Proverbs 22:1 — A good name is more desirable than great riches.,non_sensitive
31,Hinglish,School,8–10,1,Hinglish,God cares about market visits; practice Stewardship: Tiffin sharing kindly.,Tiffin sharing kindly,Colossians 3:23,"Whatever you do, work at it with all your heart, as working for the Lord.",Tiffin sharing kindly ke dauran market visits mein stewardship dikhana seekhein. Elders ko respect dikhana chahiye.,Plant a seed and write a care plan.,What is one way to show stewardship during market visits?,"By practicing tiffin sharing kindly and remembering Colossians 3:23 — Whatever you do, work at it with all your heart, as working for the Lord.",non_sensitive
32,Hinglish,Work,8–10,3,Hinglish,Be Peacemaking in market visits: Respect for teachers (Guru).,Respect for teachers (Guru),Colossians 3:23,"Whatever you do, work at it with all your heart, as working for the Lord.",Respect for teachers (Guru) ke dauran market visits mein peacemaking dikhana seekhein. Please aur thank you bolna chahiye.,Draw a comic showing the lesson.,What is one way to show peacemaking during market visits?,"By practicing respect for teachers (guru) and remembering Colossians 3:23 — Whatever you do, work at it with all your heart, as working for the Lord.",non_sensitive
33,Hinglish,Travel,10–12,1,English,Be Honesty in family meals: Using inside voices in public places.,Using inside voices in public places,Proverbs 22:1,A good name is more desirable than great riches.,"During family meals, practice honesty. Using inside voices in public places is a simple way to show care for others.",Plant a seed and write a care plan.,What is one way to show honesty during family meals?,By practicing using inside voices in public places and remembering Proverbs 22:1 — A good name is more desirable than great riches.,non_sensitive
34,Hinglish,Travel,10–12,2,English,"In school line, choose Mercy: Cricket fair play.",Cricket fair play,Philippians 2:4,"Look not only to your own interests, but also to the interests of others.","During school line, practice mercy. Cricket fair play is a simple way to show care for others.",Design a poster about the verse.,What is one way to show mercy during school line?,"By practicing cricket fair play and remembering Philippians 2:4 — Look not only to your own interests, but also to the interests of others.",non_sensitive
35,Hinglish,Creativity,10–12,1,Hinglish,Be Honesty in music practice: Public transport manners.,Public transport manners,Ephesians 4:32,"Be kind and compassionate to one another, forgiving each other.","Public transport manners ke dauran music practice mein honesty dikhana seekhein. Paani bachao, future bachao.",Start a 7‑day kindness chart at home.,What is one way to show honesty during music practice?,"By practicing public transport manners and remembering Ephesians 4:32 — Be kind and compassionate to one another, forgiving each other.",non_sensitive
36,Hinglish,School,10–12,2,Hinglish,"In sports practice, choose Mercy: Using inside voices in public places.",Using inside voices in public places,Philippians 2:4,"Look not only to your own interests, but also to the interests of others.",Using inside voices in public places ke dauran sports practice mein mercy dikhana seekhein. Please aur thank you bolna chahiye.,Act out a short skit with friends.,What is one way to show mercy during sports practice?,"By practicing using inside voices in public places and remembering Philippians 2:4 — Look not only to your own interests, but also to the interests of others.",non_sensitive
37,Hinglish,Nature,6–8,3,Hinglish,God cares about family meals; practice Respect: Cricket fair play.,Cricket fair play,Colossians 3:23,"Whatever you do, work at it with all your heart, as working for the Lord.","Cricket fair play ke dauran family meals mein respect dikhana seekhein. Paani bachao, future bachao.",Design a poster about the verse.,What is one way to show respect during family meals?,"By practicing cricket fair play and remembering Colossians 3:23 — Whatever you do, work at it with all your heart, as working for the Lord.",non_sensitive
38,Hinglish,Technology,10–12,2,Hinglish,God cares about music practice; practice Humility: Public transport manners.,Public transport manners,Proverbs 3:5,Trust in the Lord with all your heart.,"Public transport manners ke dauran music practice mein humility dikhana seekhein. Paani bachao, future bachao.",Write two sentences on how to apply this today.,What is one way to show humility during music practice?,By practicing public transport manners and remembering Proverbs 3:5 — Trust in the Lord with all your heart.,non_sensitive
39,Hinglish,Health,6–8,3,Hinglish,Show Hard work when you park clean-ups: Digital kindness in chats.,Digital kindness in chats,Matthew 7:12,Do to others what you would have them do to you.,Digital kindness in chats ke dauran park clean-ups mein hard work dikhana seekhein. Sab ke saath share karna accha hota hai.,Design a poster about the verse.,What is one way to show hard work during park clean-ups?,By practicing digital kindness in chats and remembering Matthew 7:12 — Do to others what you would have them do to you.,non_sensitive
40,Hinglish,Civics,8–10,1,Hinglish,"In park clean-ups, choose Mercy: Public transport manners.",Public transport manners,Psalm 24:1,"The earth is the Lord’s, and everything in it.",Public transport manners ke dauran park clean-ups mein mercy dikhana seekhein. Sach bolna zaroori hai.,Create a recycling checklist for your class.,What is one way to show mercy during park clean-ups?,"By practicing public transport manners and remembering Psalm 24:1 — The earth is the Lord’s, and everything in it.",non_sensitive
41,Hinglish,Nature,6–8,2,Hinglish,"In school line, choose Gratitude: Namaste greeting.",Namaste greeting,Psalm 24:1,"The earth is the Lord’s, and everything in it.",Namaste greeting ke dauran school line mein gratitude dikhana seekhein. Sach bolna zaroori hai.,Create a recycling checklist for your class.,What is one way to show gratitude during school line?,"By practicing namaste greeting and remembering Psalm 24:1 — The earth is the Lord’s, and everything in it.",non_sensitive
42,Hinglish,Festival,10–12,3,Hinglish,"In classroom chores, choose Honesty: Respect for diverse languages.",Respect for diverse languages,Colossians 3:23,"Whatever you do, work at it with all your heart, as working for the Lord.",Respect for diverse languages ke dauran classroom chores mein honesty dikhana seekhein. Sach bolna zaroori hai.,Write two sentences on how to apply this today.,What is one way to show honesty during classroom chores?,"By practicing respect for diverse languages and remembering Colossians 3:23 — Whatever you do, work at it with all your heart, as working for the Lord.",non_sensitive
43,Hinglish,Festival,8–10,2,Hinglish,God cares about rainy season; practice Peacemaking: Helping neighbors during festivals.,Helping neighbors during festivals,Colossians 3:23,"Whatever you do, work at it with all your heart, as working for the Lord.",Helping neighbors during festivals ke dauran rainy season mein peacemaking dikhana seekhein. Elders ko respect dikhana chahiye.,Create a recycling checklist for your class.,What is one way to show peacemaking during rainy season?,"By practicing helping neighbors during festivals and remembering Colossians 3:23 — Whatever you do, work at it with all your heart, as working for the Lord.",non_sensitive
44,Hinglish,Nature,8–10,2,Hinglish,God cares about school line; practice Gratitude: Digital kindness in chats.,Digital kindness in chats,Philippians 2:4,"Look not only to your own interests, but also to the interests of others.",Digital kindness in chats ke dauran school line mein gratitude dikhana seekhein. Line mein aage nahi ghusna chahiye.,Plant a seed and write a care plan.,What is one way to show gratitude during school line?,"By practicing digital kindness in chats and remembering Philippians 2:4 — Look not only to your own interests, but also to the interests of others.",non_sensitive
45,Hinglish,Helping,10–12,2,Hinglish,Show Peacemaking when you rainy season: Public transport manners.,Public transport manners,Proverbs 12:22,"The Lord detests lying lips, but he delights in people who are trustworthy.",Public transport manners ke dauran rainy season mein peacemaking dikhana seekhein. Line mein aage nahi ghusna chahiye.,Start a 7‑day kindness chart at home.,What is one way to show peacemaking during rainy season?,"By practicing public transport manners and remembering Proverbs 12:22 — The Lord detests lying lips, but he delights in people who are trustworthy.",non_sensitive
46,Hinglish,Health,10–12,1,Hinglish,God cares about festival time; practice Humility: Digital kindness in chats.,Digital kindness in chats,Micah 6:8,"Act justly, love mercy, and walk humbly with your God.","Digital kindness in chats ke dauran festival time mein humility dikhana seekhein. Helmet peheno, safety first!",Design a poster about the verse.,What is one way to show humility during festival time?,"By practicing digital kindness in chats and remembering Micah 6:8 — Act justly, love mercy, and walk humbly with your God.",non_sensitive
47,Hinglish,Travel,6–8,2,Hinglish,"In bus rides, choose Humility: Monsoon safety and helping.",Monsoon safety and helping,Psalm 24:1,"The earth is the Lord’s, and everything in it.",Monsoon safety and helping ke dauran bus rides mein humility dikhana seekhein. Elders ko respect dikhana chahiye.,Plant a seed and write a care plan.,What is one way to show humility during bus rides?,"By practicing monsoon safety and helping and remembering Psalm 24:1 — The earth is the Lord’s, and everything in it.",non_sensitive
48,Hinglish,School,6–8,1,Hinglish,Be Humility in library hour: Recycling and saving water.,Recycling and saving water,Micah 6:8,"Act justly, love mercy, and walk humbly with your God.","Recycling and saving water ke dauran library hour mein humility dikhana seekhein. Paani bachao, future bachao.",Make a thank-you card for a helper.,What is one way to show humility during library hour?,"By practicing recycling and saving water and remembering Micah 6:8 — Act justly, love mercy, and walk humbly with your God.",non_sensitive
49,Hinglish,Travel,6–8,3,Hinglish,Be Peacemaking in sports practice: Monsoon safety and helping.,Monsoon safety and helping,Psalm 24:1,"The earth is the Lord’s, and everything in it.",Monsoon safety and helping ke dauran sports practice mein peacemaking dikhana seekhein. Elders ko respect dikhana chahiye.,Write two sentences on how to apply this today.,What is one way to show peacemaking during sports practice?,"By practicing monsoon safety and helping and remembering Psalm 24:1 — The earth is the Lord’s, and everything in it.",non_sensitive
50,Hinglish,Nature,6–8,3,Hinglish,"In market visits, choose Honesty: Namaste greeting.",Namaste greeting,Proverbs 15:1,A gentle answer turns away wrath.,Namaste greeting ke dauran market visits mein honesty dikhana seekhein. Sach bolna zaroori hai.,Start a 7‑day kindness chart at home.,What is one way to show honesty during market visits?,By practicing namaste greeting and remembering Proverbs 15:1 — A gentle answer turns away wrath.,non_sensitive
51,Hinglish,Family,6–8,1,Hinglish,Show Peacemaking when you temple/church visits: Cricket fair play.,Cricket fair play,Proverbs 15:1,A gentle answer turns away wrath.,Cricket fair play ke dauran temple/church visits mein peacemaking dikhana seekhein. Sab ke saath share karna accha hota hai.,Make a thank-you card for a helper.,What is one way to show peacemaking during temple/church visits?,By practicing cricket fair play and remembering Proverbs 15:1 — A gentle answer turns away wrath.,non_sensitive
52,Hinglish,Creativity,6–8,1,Hinglish,"In school line, choose Humility: Namaste greeting.",Namaste greeting,Proverbs 15:1,A gentle answer turns away wrath.,"Namaste greeting ke dauran school line mein humility dikhana seekhein. Helmet peheno, safety first!",Plant a seed and write a care plan.,What is one way to show humility during school line?,By practicing namaste greeting and remembering Proverbs 15:1 — A gentle answer turns away wrath.,non_sensitive
53,Hinglish,Festival,10–12,3,Hinglish,"In family meals, choose Self-control: Using inside voices in public places.",Using inside voices in public places,Colossians 3:23,"Whatever you do, work at it with all your heart, as working for the Lord.",Using inside voices in public places ke dauran family meals mein self-control dikhana seekhein. Sach bolna zaroori hai.,Write two sentences on how to apply this today.,What is one way to show self-control during family meals?,"By practicing using inside voices in public places and remembering Colossians 3:23 — Whatever you do, work at it with all your heart, as working for the Lord.",non_sensitive
54,Hinglish,Festival,10–12,3,Hinglish,"In family meals, choose Hard work: Keeping temples and parks clean.",Keeping temples and parks clean,Proverbs 22:1,A good name is more desirable than great riches.,"Keeping temples and parks clean ke dauran family meals mein hard work dikhana seekhein. Paani bachao, future bachao.",Design a poster about the verse.,What is one way to show hard work during family meals?,By practicing keeping temples and parks clean and remembering Proverbs 22:1 — A good name is more desirable than great riches.,non_sensitive
55,Hinglish,Family,6–8,2,English,God cares about school line; practice Gratitude: Cricket fair play.,Cricket fair play,Psalm 24:1,"The earth is the Lord’s, and everything in it.","During school line, practice gratitude. Cricket fair play is a simple way to show care for others.",Draw a comic showing the lesson.,What is one way to show gratitude during school line?,"By practicing cricket fair play and remembering Psalm 24:1 — The earth is the Lord’s, and everything in it.",non_sensitive
56,Hinglish,Nature,8–10,1,Hinglish,"In park clean-ups, choose Self-control: Cricket fair play.",Cricket fair play,Proverbs 3:5,Trust in the Lord with all your heart.,Cricket fair play ke dauran park clean-ups mein self-control dikhana seekhein. Please aur thank you bolna chahiye.,Write two sentences on how to apply this today.,What is one way to show self-control during park clean-ups?,By practicing cricket fair play and remembering Proverbs 3:5 — Trust in the Lord with all your heart.,non_sensitive
57,Hinglish,Health,6–8,2,Hinglish,Show Hard work when you market visits: Traffic safety and helmets.,Traffic safety and helmets,Micah 6:8,"Act justly, love mercy, and walk humbly with your God.",Traffic safety and helmets ke dauran market visits mein hard work dikhana seekhein. Sach bolna zaroori hai.,Make a thank-you card for a helper.,What is one way to show hard work during market visits?,"By practicing traffic safety and helmets and remembering Micah 6:8 — Act justly, love mercy, and walk humbly with your God.",non_sensitive
58,Hinglish,Health,8–10,2,Hinglish,God cares about festival time; practice Hard work: Digital kindness in chats.,Digital kindness in chats,Proverbs 22:1,A good name is more desirable than great riches.,"Digital kindness in chats ke dauran festival time mein hard work dikhana seekhein. Paani bachao, future bachao.",Make a thank-you card for a helper.,What is one way to show hard work during festival time?,By practicing digital kindness in chats and remembering Proverbs 22:1 — A good name is more desirable than great riches.,non_sensitive
59,Hinglish,Creativity,10–12,3,Hinglish,God cares about homework time; practice Gratitude: Namaste greeting.,Namaste greeting,Ephesians 4:32,"Be kind and compassionate to one another, forgiving each other.",Namaste greeting ke dauran homework time mein gratitude dikhana seekhein. Sach bolna zaroori hai.,Create a recycling checklist for your class.,What is one way to show gratitude during homework time?,"By practicing namaste greeting and remembering Ephesians 4:32 — Be kind and compassionate to one another, forgiving each other.",non_sensitive
60,Hinglish,Civics,8–10,1,English,"In family meals, choose Hard work: Handwashing before meals.",Handwashing before meals,Matthew 7:12,Do to others what you would have them do to you.,"During family meals, practice hard work. Handwashing before meals is a simple way to show care for others.",Plant a seed and write a care plan.,What is one way to show hard work during family meals?,By practicing handwashing before meals and remembering Matthew 7:12 — Do to others what you would have them do to you.,non_sensitive
61,Hinglish,Creativity,10–12,3,Hinglish,Be Respect in homework time: Tiffin sharing kindly.,Tiffin sharing kindly,Matthew 7:12,Do to others what you would have them do to you.,"Tiffin sharing kindly ke dauran homework time mein respect dikhana seekhein. Paani bachao, future bachao.",Make a thank-you card for a helper.,What is one way to show respect during homework time?,By practicing tiffin sharing kindly and remembering Matthew 7:12 — Do to others what you would have them do to you.,non_sensitive
62,Hinglish,Family,8–10,1,Hinglish,God cares about temple/church visits; practice Self-control: Keeping temples and parks clean.,Keeping temples and parks clean,Micah 6:8,"Act justly, love mercy, and walk humbly with your God.",Keeping temples and parks clean ke dauran temple/church visits mein self-control dikhana seekhein. Elders ko respect dikhana chahiye.,Draw a comic showing the lesson.,What is one way to show self-control during temple/church visits?,"By practicing keeping temples and parks clean and remembering Micah 6:8 — Act justly, love mercy, and walk humbly with your God.",non_sensitive
63,Hinglish,Work,8–10,3,Hinglish,God cares about music practice; practice Self-control: Helping neighbors during festivals.,Helping neighbors during festivals,Ephesians 4:32,"Be kind and compassionate to one another, forgiving each other.","Helping neighbors during festivals ke dauran music practice mein self-control dikhana seekhein. Paani bachao, future bachao.",Make a thank-you card for a helper.,What is one way to show self-control during music practice?,"By practicing helping neighbors during festivals and remembering Ephesians 4:32 — Be kind and compassionate to one another, forgiving each other.",non_sensitive
64,Hinglish,Civics,8–10,3,Hinglish,God cares about festival time; practice Kindness: Library book care.,Library book care,Colossians 3:23,"Whatever you do, work at it with all your heart, as working for the Lord.",Library book care ke dauran festival time mein kindness dikhana seekhein. Sab ke saath share karna accha hota hai.,Start a 7‑day kindness chart at home.,What is one way to show kindness during festival time?,"By practicing library book care and remembering Colossians 3:23 — Whatever you do, work at it with all your heart, as working for the Lord.",non_sensitive
